,grid,n_agents,n_hectares
169,grid_-44.1_169.0,2,49
170,grid_-43.9_172.2,339,24450
171,grid_-39.3_175.4,6,4763
172,grid_-36.3_173.8,50,4115
173,grid_-41.3_172.8,348,11204
174,grid_-41.9_171.6,43,2819
175,grid_-35.7_173.6,63,6559
176,grid_-42.7_173.0,74,14334
177,grid_-37.9_176.8,9,107
178,grid_-35.9_174.0,337,22060
179,grid_-45.1_168.0,1,72
180,grid_-43.1_173.0,65,11691
181,grid_-42.1_171.6,2,261
182,grid_-44.1_171.2,236,27943
183,grid_-37.1_175.4,5,132
184,grid_-35.7_173.2,13,424
185,grid_-44.3_169.8,25,5251
186,grid_-38.3_177.8,6,2356
187,grid_-46.1_167.8,119,25082
188,grid_-39.1_176.4,5,1264
189,grid_-40.3_176.0,324,26137
190,grid_-36.9_175.8,23,627
191,grid_-38.7_174.6,42,4164
192,grid_-42.7_172.8,63,13527
193,grid_-36.7_174.4,389,17060
194,grid_-38.7_175.2,86,14438
195,grid_-38.3_175.2,342,31928
196,grid_-45.9_170.6,128,4402
197,grid_-42.5_171.4,86,8903
198,grid_-40.5_175.4,431,29786
199,grid_-46.1_167.4,2,1854
200,grid_-38.5_175.2,100,19427
201,grid_-41.1_175.0,61,1257
202,grid_-39.5_174.6,11,389
203,grid_-46.7_168.6,34,4987
204,grid_-42.1_172.2,20,1581
205,grid_-38.1_176.4,80,5530
206,grid_-41.7_173.2,28,4834
207,grid_-45.9_169.4,44,10935
208,grid_-45.7_169.0,14,3818
209,grid_-38.1_177.4,52,1301
210,grid_-39.1_173.8,7,107
211,grid_-43.9_171.8,219,34250
212,grid_-41.7_175.4,8,431
213,grid_-46.1_169.4,109,21465
214,grid_-37.7_178.2,36,1547
215,grid_-42.9_173.0,63,16219
216,grid_-38.9_176.4,6,9688
217,grid_-39.5_176.2,5,2686
218,grid_-45.1_169.6,95,25413
219,grid_-37.5_174.6,84,7207
220,grid_-45.7_170.2,26,24739
221,grid_-40.9_175.0,183,7298
222,grid_-46.5_167.6,35,4646
223,grid_-37.7_175.8,319,8828
224,grid_-36.3_174.8,6,74
225,grid_-34.9_172.8,2,141
226,grid_-38.5_176.2,238,23123
227,grid_-44.9_168.0,1,67
228,grid_-41.7_173.4,91,7530
229,grid_-41.7_174.0,172,15099
230,grid_-38.1_174.6,11,1069
231,grid_-43.3_171.0,3,883
232,grid_-41.1_175.6,297,23036
233,grid_-34.9_173.2,7,2344
234,grid_-45.3_169.8,51,22199
235,grid_-45.7_168.2,72,17206
236,grid_-35.5_173.2,74,3901
237,grid_-39.7_176.8,438,11566
238,grid_-36.9_174.2,2,26
239,grid_-39.1_175.2,150,13065
240,grid_-44.5_168.8,4,518
241,grid_-40.1_176.8,63,10469
242,grid_-41.1_173.6,3,67
243,grid_-37.9_174.8,179,16948
244,grid_-39.5_175.8,4,3545
245,grid_-41.3_173.6,52,2669
246,grid_-37.1_175.2,32,2546
247,grid_-41.9_172.6,12,3125
248,grid_-42.9_172.6,99,19893
249,grid_-40.1_175.8,133,17059
250,grid_-38.3_176.6,1,248
251,grid_-44.1_171.4,186,36994
252,grid_-40.5_176.0,115,14632
253,grid_-42.1_171.8,37,4135
254,grid_-45.9_170.2,193,15301
255,grid_-41.3_175.6,104,13756
256,grid_-43.1_173.2,16,2102
257,grid_-35.3_174.0,75,4917
258,grid_-43.7_169.4,10,283
259,grid_-45.3_170.6,94,12412
260,grid_-46.3_168.8,246,28190
261,grid_-43.9_172.6,95,4974
262,grid_-40.3_175.4,520,30654
263,grid_-39.1_175.0,59,6477
264,grid_-43.7_171.6,245,31191
265,grid_-42.7_171.2,23,2055
266,grid_-41.5_174.6,1,5
267,grid_-46.3_169.4,134,27532
268,grid_-42.7_171.8,8,1493
269,grid_-42.7_171.4,49,8723
270,grid_-40.9_173.6,1,123
271,grid_-39.5_176.4,94,17363
272,grid_-45.7_169.8,8,9480
273,grid_-37.9_178.2,116,4814
274,grid_-40.7_172.6,36,2890
275,grid_-43.3_170.6,14,1402
276,grid_-44.5_168.6,2,165
277,grid_-40.1_175.2,287,23837
278,grid_-38.3_175.0,245,16691
279,grid_-38.9_177.4,56,8012
280,grid_-45.9_168.2,91,21884
281,grid_-45.7_169.4,45,17027
282,grid_-38.5_174.8,86,15963
283,grid_-44.3_170.0,52,17042
284,grid_-39.9_174.4,117,10346
285,grid_-38.7_176.2,93,20677
286,grid_-42.5_173.2,20,6718
287,grid_-39.1_174.8,35,2713
288,grid_-38.7_177.2,7,3728
289,grid_-39.7_174.2,276,17711
290,grid_-36.3_174.2,224,18692
291,grid_-43.7_171.2,21,8995
292,grid_-41.1_172.6,26,1142
293,grid_-45.3_168.2,3,4884
294,grid_-46.3_168.4,239,27556
295,grid_-44.1_170.8,122,20786
296,grid_-44.7_168.2,1,77
297,grid_-39.5_174.8,6,139
298,grid_-44.1_168.8,12,492
299,grid_-41.9_172.8,33,2082
300,grid_-38.5_177.4,65,13160
301,grid_-42.5_171.8,3,265
302,grid_-44.3_171.4,79,14009
303,grid_-41.5_172.6,70,5242
304,grid_-42.1_172.6,1,41
305,grid_-40.7_172.4,14,1589
306,grid_-43.3_171.4,7,5770
307,grid_-45.9_167.8,13,10594
308,grid_-37.9_178.4,67,1398
309,grid_-36.7_175.2,5,214
310,grid_-45.5_167.6,88,8851
311,grid_-44.3_170.4,12,11620
312,grid_-39.9_176.0,15,1946
313,grid_-44.7_170.2,16,7770
314,grid_-43.9_172.8,192,6800
315,grid_-36.7_175.4,28,945
316,grid_-37.5_175.4,288,20685
317,grid_-43.7_170.6,1,91
318,grid_-37.9_176.6,50,2334
319,grid_-41.3_174.8,42,2103
320,grid_-44.7_171.2,5,90
321,grid_-35.7_173.4,81,4436
322,grid_-41.3_175.8,47,4035
323,grid_-39.1_175.6,18,3056
324,grid_-45.7_168.8,16,10663
325,grid_-37.7_174.6,22,3091
326,grid_-42.7_170.8,1,17
327,grid_-34.7_172.8,31,7001
328,grid_-38.7_174.8,75,15546
329,grid_-40.1_175.4,262,25701
330,grid_-45.9_168.0,44,19974
331,grid_-43.7_169.6,10,1014
332,grid_-37.3_175.8,55,2793
333,grid_-41.3_173.0,209,5799
334,grid_-38.1_176.6,254,13851
335,grid_-39.9_176.2,64,18146
