,grid,n_agents,n_hectares
739,grid_-41.9_171.8,11,1493
740,grid_-41.1_175.2,35,1604
741,grid_-46.7_168.4,25,3131
742,grid_-40.1_176.0,73,6180
743,grid_-35.3_173.8,280,19445
744,grid_-37.1_175.6,77,4253
745,grid_-38.7_175.4,13,5816
746,grid_-42.7_173.4,27,2701
747,grid_-38.7_178.2,19,1692
748,grid_-38.9_175.6,27,11386
749,grid_-39.7_175.6,152,17733
750,grid_-42.9_171.0,86,7213
751,grid_-39.3_176.4,33,5183
752,grid_-36.1_174.4,154,7543
753,grid_-43.9_172.4,108,4901
754,grid_-46.7_169.0,67,12741
755,grid_-39.7_175.0,47,1650
756,grid_-41.5_174.8,10,240
757,grid_-44.5_170.8,100,19926
758,grid_-42.3_171.6,69,7515
759,grid_-44.3_169.0,7,581
760,grid_-46.7_168.2,38,3008
761,grid_-39.9_175.2,82,6703
762,grid_-36.9_174.6,36,597
763,grid_-38.9_176.8,1,82
764,grid_-42.1_173.6,5,1106
765,grid_-39.7_173.8,44,2816
766,grid_-45.9_168.8,95,21946
767,grid_-42.3_171.4,9,1220
768,grid_-34.9_173.0,93,8480
769,grid_-46.1_168.0,173,29312
770,grid_-42.5_173.0,4,1579
771,grid_-45.1_168.2,4,2362
772,grid_-39.3_174.4,108,9146
773,grid_-38.3_175.8,166,16889
774,grid_-41.5_173.8,251,8636
775,grid_-37.5_175.8,199,10570
776,grid_-36.1_173.6,66,3984
777,grid_-43.5_170.2,4,272
778,grid_-39.9_175.8,153,14788
779,grid_-43.5_172.6,201,5884
780,grid_-38.3_177.2,1,9
781,grid_-39.1_174.4,116,4572
782,grid_-39.3_176.8,85,12355
